Time,,prod16.dc4,prod08.ld5,prod11.dc4,prod34.dc4,prod40.la3,prod50.dc4,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/10 11:46:00,PST,9.3233,4.7567,3.4317,2.6817,2.6533,4.2733,2.3417,2.505,2.4067,2.05
2018/12/10 11:47:00,PST,9.6617,3.4117,5.365,3.01,3.4933,2.3083,2.58,2.44,2.6633,2.0383
2018/12/10 11:48:00,PST,17.07,3.145,2.3783,2.3333,3.5083,2.3717,2.6467,2.1967,2.6467,2.19
2018/12/10 11:49:00,PST,2.08,3.3633,5.46,3.085,2.6717,4.1383,2.605,2.1033,2.8683,2.1267
2018/12/10 11:50:00,PST,2.0233,3.935,3.4017,2.3917,2.5383,2.1283,2.3833,2.0017,3.2983,1.975
2018/12/10 11:51:00,PST,19.55,4.3,5.3117,3.1267,2.6317,2.21,2.255,2.1817,3.2983,2.235
2018/12/10 11:52:00,PST,11.2317,3.9017,4.78,4.325,2.9733,2.7283,2.8017,2.1033,2.9218,1.9883
2018/12/10 11:53:00,PST,8.485,5.28,2.78,2.1583,2.9317,3.0967,2.55,2.2583,3.075,2.0683
2018/12/10 11:54:00,PST,1.7,3.2533,4.875,3.44,2.8083,1.9867,2.4633,2.62,3.2217,2.01
2018/12/10 11:55:00,PST,1.7267,3.3267,3.4767,1.7667,2.8567,11.8617,2.97,2.1383,3.4817,2.1367
2018/12/10 11:56:00,PST,10.26,4.5933,3.7583,3.01,2.61,2.0433,2.41,2.1917,2.5667,2.0483
2018/12/10 11:57:00,PST,9.7233,3.3883,7.915,3.085,2.8333,1.9383,2.595,2.2967,2.7417,2.255
2018/12/10 11:58:00,PST,18.8533,3.8517,4.29,2.12,2.8183,4.1133,2.815,1.995,2.305,2.0167
2018/12/10 11:59:00,PST,10.05,3.44,5.34,3.0783,2.7417,1.8783,2.5517,2.1267,2.5367,2.0833
2018/12/10 12:00:00,PST,9.89,3.515,3.485,3.5683,2.6567,2.4867,2.575,2.3083,1.86,2.3683
2018/12/10 12:01:00,PST,1.5217,3.77,3.6483,2.7283,2.7333,4.9067,2.4817,2.5467,1.8917,2.2783
2018/12/10 12:02:00,PST,1.755,3.8467,4.7317,2.4733,2.8783,2.8717,2.8167,2.595,2.2883,2.25
2018/12/10 12:03:00,PST,1.8667,5.76,4.34,2.9883,2.89,2.67,2.59,2.5817,2.185,2.1933
2018/12/10 12:04:00,PST,1.8617,3.5933,5.3317,3.2783,3.09,5.445,2.61,2.6317,1.935,2.4167
2018/12/10 12:05:00,PST,11.1633,3.2417,4.3767,2.295,2.7883,3.015,2.52,2.3233,1.7583,2.2967
2018/12/10 12:06:00,PST,9.3867,3.5533,3.3783,3.725,2.7067,4.9262,2.3883,2.655,1.665,2.3117
2018/12/10 12:07:00,PST,1.65,4.87,4.59,4.0217,2.7967,2.6356,2.6367,2.5133,1.91,2.3133
2018/12/10 12:08:00,PST,1.9483,5.3317,2.5817,3.2,3.095,2.945,2.64,3.76,1.8817,2.5567
2018/12/10 12:09:00,PST,1.8082,3.51,7.2317,4.7467,3.0783,4.6517,2.4533,2.565,2.5383,2.045
2018/12/10 12:10:00,PST,14.7867,4.0083,3.855,2.71,3.2017,2.0771,2.7,2.4917,1.6417,2.04
2018/12/10 12:11:00,PST,7.5733,4.26,3.4583,4.5167,3.1,2.0356,2.255,2.7,1.59,2.07
2018/12/10 12:12:00,PST,17.81,3.265,4.405,3.48,3.7767,2.3467,3.39,2.6617,1.52,2.0283
2018/12/10 12:13:00,PST,1.7167,4.6333,2.8417,2.9733,3.1117,4.2383,2.5183,2.405,2.3717,2.0067
2018/12/10 12:14:00,PST,4.8817,3.22,4.385,4.9767,3.085,1.9817,2.4683,2.5933,2.6033,2.1267
2018/12/10 12:15:00,PST,17.2217,3.145,5.8933,3.32,2.9317,2.29,2.6533,2.595,1.61,2.2383
2018/12/10 12:16:00,PST,14.9583,3.735,3.7033,3.8283,2.5967,4.7467,2.3383,2.685,1.8717,2.155
2018/12/10 12:17:00,PST,7.765,3.215,4.9217,3.6983,2.975,1.805,2.7517,2.3817,1.585,2.0383
2018/12/10 12:18:00,PST,15.34,3.02,2.6683,4.9933,3.11,2.3967,2.88,2.3867,2.4467,2.3517
2018/12/10 12:19:00,PST,1.725,3.705,5.12,3.3167,2.6867,2.235,2.8417,1.97,2.2133,2.1483
2018/12/10 12:20:00,PST,9.31,5.275,3.6983,2.8767,2.6567,6.1733,2.6283,2.0067,1.9567,2.3183
2018/12/10 12:21:00,PST,9.285,3.3283,5.6367,3.0567,2.6517,1.785,2.325,2.115,2.465,2.105
2018/12/10 12:22:00,PST,17.24,5.53,4.705,4.445,2.7967,1.9183,2.5,2.025,1.825,2.135
2018/12/10 12:23:00,PST,1.845,5.605,2.6367,4.5783,2.9367,4.1717,2.5533,2.12,2.1833,2.0333
